metric,system,wins,win_rate
execution_time,palimpzest,17.0,32.075471698113205
execution_time,thalamusdb,13.0,24.528301886792452
execution_time,bigquery,12.0,22.641509433962266
execution_time,lotus,11.0,20.754716981132077
money_cost,bigquery,7.0,13.20754716981132
money_cost,thalamusdb,28.0,52.83018867924528
money_cost,palimpzest,6.0,11.320754716981133
money_cost,lotus,12.0,22.641509433962266
quality,palimpzest,18.333333333333332,34.59119496855346
quality,bigquery,11.666666666666666,22.0125786163522
quality,thalamusdb,7.833333333333333,14.779874213836477
quality,lotus,15.166666666666666,28.61635220125786
