id,category
44969,Maxima
29193,United Colors of Benetton
44245,Hidekraft
58165,Rocky S
45290,CASIO
17454,Casio
9610,Indigo Nation
16469,Locomotive
59296,U.S. Polo Assn.
11076,Scullers
7146,Scullers
10839,Wrangler
15606,Nike
20255,Wrangler
2606,ADIDAS
42394,Flying Machine
52146,Femella
4225,Probase
43047,Nike
7891,Proline
8284,Skechers
4343,Fila
51754,Catwalk
59172,Fortune
10146,Rockport
22543,Lotto
39013,FILA
14371,Catwalk
29235,Puma
32836,Grendha
48332,Pitaraa
30285,Speedo
30544,Nike
49885,Q&Q
39364,Helix
46487,Timex
24873,United Colors of Benetton
36725,Gini and Jony
4800,ADIDAS
23528,Hugo Boss
48788,Lucera
48858,Lucera
42603,Estelle
48859,Lucera
52435,Red Rose
36238,W
21940,Murcia
53659,Kiara
17100,Lino Perros
25331,CASIO
28456,Urban Yoga
24537,Mother Earth
42643,W
13737,Belmonte
39697,Spykar
9640,Indigo Nation
13714,Proline
3974,Jealous 21
12799,Nike
18310,Wills Lifestyle
1891,FIFA
30292,Street Legend
33081,U.S. Polo Assn. Denim Co.
6037,Benetton
6241,Lee
44780,Lotto
10129,Rockport
41825,Skechers
4344,Fila
3671,Fila
8103,ADIDAS
35782,Enroute
20923,Catwalk
22276,Inc.5
39194,Catwalk
37518,Madagascar
48752,Lucera
2651,Murcia
36886,Fossil
23462,Lino Perros
59267,Titan
27204,Doodle
27920,Scullers For Her
54598,Sushilas
12595,Tantra
7460,Proline
47525,Facit
44075,Boss
48877,Lucera
55891,Colorbar
5301,Reebok
43389,Lino Perros
10099,Fastrack
46399,ADIDAS
59988,Avirate
10818,Wrangler
37119,Wills
43631,Vero Moda
12667,Probase
23031,Arrow
12907,Spykar
30344,Myntra
48441,French Connection
7132,Urban Yoga
1595,Domyos
54520,F Sports
45593,Arrow
12888,Reebok
13198,ASICS
8075,ADIDAS
18559,Catwalk
45362,Cobblerz
13019,Inc 5
10284,Clarks
19031,Catwalk
44790,Calvin Klein
36026,OTLS
48535,Wrangler
7671,Wrangler
12391,Reid & Taylor
50025,Hanes
40657,Span
58800,Highlander
39836,Gini and Jony
27445,Jockey
4811,ADIDAS
28085,Jockey
59686,Avirate
50001,Hanes
51193,Enamor
58097,Rreverie
49081,Deborah
56038,Colorbar
57559,Lotus Herbals
46742,Nike
5300,Reebok
5303,Reebok
9495,Puma
47350,Baggit
21985,Murcia
38464,Baggit
29419,Giordano
21431,Roxy
32426,ADIDAS
7935,Puma
39104,Reid & Taylor
43511,French Connection
18978,ADIDAS
19332,United Colors of Benetton
10441,Flying Machine
23977,Peter England
34042,Gini and Jony
27151,Mark Taylor
55599,Peter England
11033,Jealous 21
32594,ONLY
6894,Forever New
11664,Lee
16206,Puma
34188,Gini and Jony
8402,ADIDAS
3506,ADIDAS
12481,Clarks
47203,Franco Leone
10102,Reebok
33822,Puma
15410,Fila
13605,Hanes
20579,Baggit
49621,Catwalk
32169,Playboy
49891,Q&Q
57896,Femella
1563,Quechua
7669,Puma
7747,Indigo Nation
6064,United Colors of Benetton
8419,Doodle
27474,Jockey
46692,Rasasi
57548,Lotus Herbals
55133,Lakme
55122,Lakme
56174,Colorbar
51922,Nyk
36794,Maxima
45156,Casio
13112,ADIDAS
21891,BIBA
30851,Fabindia
31697,Folklore
47028,Shree
22351,John Players
32392,Arrow
14582,United Colors of Benetton
26871,Jealous 21
24693,Locomotive
38631,Nike
44867,Puma
5616,ADIDAS
6352,Crocs
16187,enroute
33831,Puma
35695,Nike
9390,Nike
15729,Nike
26449,Puma
44616,Fila
49938,Hanes
11507,Catwalk
20907,Catwalk
14373,Catwalk
13479,Rocia
13480,Rocia
12452,Timberland
33479,Baggit
36515,United Colors of Benetton
38234,Polaroid
17331,Pepe Jeans
23746,Ray-Ban
29218,Fila
29369,Genesis
40941,Gini and Jony
10689,Doodle
2048,ADIDAS
15779,Facit Men
50619,Chromozome
26852,Calvin Klein
48803,Lucera
43864,Royal Diadem
59547,Lucera
57577,Lotus Herbals
55944,Colorbar
56173,Colorbar
21253,Skybags
4101,Puma
53807,Puma
5299,Reebok
1624,Reebok
35196,Wildcraft
5314,Reebok
7058,Nike
52756,Fiorelli
25806,Hidekraft
43151,Fastrack
10238,Esprit
36772,Maxima
38015,Q&Q
3909,Urban Yoga
6863,Forever New
21590,Tribord
34492,Van Heusen
1638,Nabaiji
47032,Shree
53401,Alma
19714,United Colors of Benetton
31657,Indigo Nation
8872,Mark Taylor
9976,Nike
57127,Elle
20664,Classic Polo
59306,U.S. Polo Assn.
2821,Lee Cooper
36430,Spinn
25468,Nike
17738,Puma
45340,Cobblerz
49593,Catwalk
47614,Portia
34546,Puma
3449,ADIDAS
47664,Femella
58831,FCUK
34118,Doodle Girls
15330,Nike
12127,Aurelia
37148,Campbell
40151,Gini and Jony
2045,ADIDAS
4581,Beatles
7945,Puma
18459,David Beckham
46790,Nautilus
52918,FNF
20522,Baggit
21954,Murcia
25180,Lino Perros
36520,United Colors of Benetton
27797,Bulchee
43164,Fastrack
36774,Maxima
38020,Q&Q
22459,Myntra
8493,Forever New
38841,Latin Quarters
43676,French Connection
18286,Aneri
25827,Diva
32221,Fabindia
