id,category
10441,Topwear
10579,Topwear
10689,Topwear
10818,Topwear
10839,Topwear
10855,Topwear
11026,Topwear
11710,Topwear
12387,Topwear
12799,Topwear
12907,Topwear
13112,Bottomwear
13714,Topwear
13737,Topwear
14582,Topwear
14738,Topwear
15317,Topwear
15606,Topwear
1563,Topwear
15779,Innerwear
1583,Innerwear
16299,Topwear
16374,Bottomwear
16508,Bottomwear
17154,Topwear
17922,Topwear
18310,Topwear
1849,Topwear
18735,Dress
1891,Topwear
19524,Topwear
19825,Topwear
20212,Topwear
20255,Topwear
2035,Topwear
2048,Topwear
20664,Topwear
21124,Topwear
21431,Bottomwear
21590,Bottomwear
23977,Topwear
24537,Topwear
24873,Topwear
2606,Topwear
2607,Topwear
26871,Topwear
27204,Bottomwear
27445,Topwear
27474,Innerwear
27542,Topwear
27920,Bottomwear
28085,Innerwear
28456,Bottomwear
29369,Topwear
29692,Topwear
30292,Topwear
30344,Topwear
30732,Bottomwear
30932,Topwear
31570,Bottomwear
32426,Bottomwear
32720,Innerwear
33193,Topwear
3351,Topwear
33996,Topwear
34042,Topwear
34118,Bottomwear
34270,Topwear
3479,Topwear
34926,Topwear
36725,Topwear
37119,Topwear
37148,Topwear
3756,Topwear
3909,Bottomwear
39104,Bottomwear
39697,Topwear
40148,Dress
40151,Topwear
4038,Topwear
40657,Topwear
40941,Topwear
42394,Topwear
42524,Topwear
42643,Topwear
43511,Dress
43631,Topwear
44790,Innerwear
47032,Topwear
4800,Topwear
4805,Topwear
4817,Topwear
48441,Topwear
48492,Topwear
49938,Innerwear
50001,Innerwear
50025,Bottomwear
50718,Topwear
51193,Innerwear
52140,Topwear
52146,Topwear
54897,Topwear
58800,Topwear
59306,Topwear
59968,Dress
59988,Dress
6863,Bottomwear
7006,Topwear
7132,Topwear
7146,Topwear
7669,Topwear
7747,Topwear
8493,Bottomwear
9449,Topwear
9610,Topwear
10049,Topwear
10470,Topwear
11033,Topwear
11076,Topwear
11664,Topwear
12127,Topwear
12135,Topwear
12595,Topwear
12667,Topwear
13605,Innerwear
15330,Bottomwear
1595,Topwear
16206,Topwear
1638,None
16469,Topwear
16470,Topwear
16910,Topwear
17181,Topwear
17557,Topwear
18197,Bottomwear
18286,Topwear
18978,Topwear
19332,Topwear
19356,Innerwear
19714,Topwear
2045,Topwear
21235,Topwear
21891,Topwear
22351,Topwear
22459,Bottomwear
23031,Topwear
24693,Topwear
25380,Innerwear
25503,Dress
25827,Topwear
27151,Topwear
2842,Topwear
28453,Bottomwear
28962,Topwear
30851,Topwear
30857,Topwear
31657,Topwear
31697,Topwear
32221,Topwear
32392,Topwear
32594,Topwear
33081,Topwear
34188,Topwear
34492,Bottomwear
36238,Topwear
37610,Topwear
37804,Topwear
38631,Topwear
38841,Dress
39388,Bottomwear
3974,Topwear
39836,Topwear
4225,Topwear
43047,Topwear
43256,Topwear
4355,Topwear
43676,Dress
44867,Topwear
45776,Topwear
4581,Topwear
46399,Bottomwear
46742,Bottomwear
47028,Topwear
47074,Bottomwear
47525,Innerwear
4786,Bottomwear
4811,Topwear
48522,Dress
4921,Topwear
50619,Innerwear
50693,Innerwear
51458,Topwear
53126,Topwear
53401,Topwear
54598,Topwear
55599,Topwear
57078,Dress
57127,Topwear
57423,Topwear
57896,Bottomwear
59296,Topwear
59686,Innerwear
6037,Topwear
6064,Topwear
6086,Topwear
6241,Topwear
6894,Topwear
6958,Topwear
7460,Topwear
7891,Topwear
7935,Bottomwear
7945,Topwear
8402,Topwear
8419,Topwear
8872,Topwear
9546,Topwear
9640,Topwear
9885,Topwear
9976,Topwear
