category,id
Topwear,49938
Bottomwear,27920
Footwear,10146
Bottomwear,34118
Topwear,12135
Topwear,40151
Bottomwear,35645
Topwear,34188
Topwear,54598
Topwear,27797
Topwear,42394
Bottomwear,21590
Bottomwear,46399
Topwear,21704
Socks,38543
null,49885
Bottomwear,28456
Topwear,21940
null,23528
Footwear,26449
Footwear,51754
Socks,51145
Innerwear,27474
Topwear,8419
None,55133
Topwear,11076
Socks,41448
Socks,37518
Topwear,29692
Topwear,12391
Topwear,48877
Not clothing,49081
Innerwear,32720
Footwear,10284
Topwear,35196
Dress,52393
Topwear,39836
Topwear,4921
Socks,44780
Bottomwear,12888
Footwear,5381
Topwear,10099
Dress,56684
Not Applicable,21253
Topwear,12595
Topwear,51458
Bottomwear,50025
Topwear,9640
Topwear,3449
Topwear,48788
Bottomwear,33110
Socks,36430
Topwear,10855
Topwear,4800
null,53651
Topwear,38464
Innerwear,47525
Socks,10638
Dress,52918
Topwear,3479
Topwear,10599
Bottomwear,24679
Bottomwear,16508
Topwear,19219
Topwear,5299
null,26732
Bottomwear,30732
Footwear,13480
Topwear,7945
Innerwear,50238
Bottomwear,28589
Topwear,6894
Topwear,38234
Topwear,53569
Topwear,43256
Topwear,9495
Topwear,33193
Topwear,43151
None,55441
Footwear,8284
Topwear,5301
Topwear,16470
Topwear,38447
None,56486
Bottomwear,36026
Footwear,35695
Topwear,26871
Not apparel,5314
Socks,8993
Footwear,4133
Topwear,4581
Footwear,13479
Topwear,30932
Dress,45994
Topwear,48492
Topwear,34926
Topwear,12127
Bottomwear,32426
Topwear,12387
Topwear,53603
Socks,25468
Watches,46487
Topwear,52564
Topwear,21235
Topwear,6241
Bottomwear,31218
Bottomwear,19024
None,57577
Socks,14577
Dress,59988
Topwear,4355
Topwear,16469
Topwear,27542
Bottomwear,20923
Topwear,37119
Socks,30544
Bottomwear,14371
Topwear,13605
Topwear,6064
Topwear,28962
Topwear,48858
Topwear,33081
Socks,37890
Topwear,59296
null,58831
Bottomwear,44616
Footwear,45593
Socks,33831
Bottomwear,3671
Topwear,36063
Topwear,18286
Bottomwear,6651
Bottomwear,21431
Bottomwear,6863
Innerwear,15779
Topwear,30285
Topwear,48752
Socks,12692
Topwear,29193
Topwear,45111
Bottomwear,16374
Topwear,43047
Topwear,7747
Bottomwear,2821
Topwear,9610
Socks,41227
Footwear,35782
Topwear,48332
Topwear,3470
Bottomwear,15330
Topwear,1623
Topwear,3756
Dress,48522
Topwear,24537
None,49092
Footwear,29248
Topwear,31697
Topwear,18310
Topwear,44980
Bottomwear,28453
Topwear,53659
Topwear,30292
Topwear,32594
Topwear,5300
Dress,52975
null,10238
Topwear,10839
Topwear,47664
null,44075
Topwear,32221
Topwear,43164
Socks,12452
Topwear,20412
Topwear,21124
Topwear,29468
Footwear,39873
Footwear,3312
Topwear,7669
None,55944
Bottomwear,47203
Topwear,25180
Topwear,38631
Bottomwear,13112
Socks,29218
None,56038
Accessories,28425
Topwear,36774
Socks,34077
Bottomwear,36515
Bottomwear,32846
Topwear,47032
null,26852
Footwear,10129
Topwear,20579
Topwear,17331
Topwear,52146
Socks,6302
Bottomwear,33479
Topwear,42524
Topwear,52756
Topwear,20664
Socks,54519
Topwear,18530
Socks,11497
Footwear,8103
Topwear,52140
Socks,33097
Topwear,46466
Innerwear,18459
Not Applicable,26211
Topwear,59267
Not clothing,57559
Innerwear,19356
Topwear,19714
Footwear,59172
Topwear,20255
Topwear,23462
Bottomwear,39388
null,45290
Topwear,11710
Bottomwear,53807
null,58121
None,55891
Topwear,58097
Topwear,39697
Not Applicable,51922
Topwear,37610
Socks,41825
Socks,17737
Topwear,22351
Topwear,4811
Topwear,36238
Topwear,7006
Socks,35807
Topwear,37148
Topwear,13737
Bottomwear,46742
Socks,33822
Topwear,29950
Topwear,1638
Dress,18735
Dress,57078
Topwear,19332
Topwear,1891
Topwear,46790
Watches,17454
Topwear,8872
Topwear,34270
Socks,29202
Footwear,10037
Topwear,10470
Topwear,47350
Innerwear,50001
Topwear,25116
Bottomwear,39194
Topwear,10441
Not Applicable,37002
Footwear,10102
Bottomwear,41239
Socks,35242
Topwear,53126
Topwear,1595
null,44009
Topwear,43864
Bottomwear,27204
Topwear,27445
Topwear,48644
Innerwear,52435
Innerwear,50619
Innerwear,44790
Footwear,11507
null,46692
Topwear,19524
Topwear,50718
Topwear,1563
Topwear,30344
Topwear,13714
Topwear,48803
Topwear,45156
Socks,6352
Footwear,49621
Bottomwear,18559
None,57548
Topwear,30851
Innerwear,25380
Topwear,23746
Bottomwear,9390
Topwear,53613
Bottomwear,20907
Not Applicable,2670
Topwear,14738
Topwear,9449
Footwear,13019
Topwear,25331
Bottomwear,45362
Topwear,2606
Bottomwear,22459
Topwear,7891
Bottomwear,34492
Topwear,7146
Topwear,32392
Watches,38013
Topwear,11664
Topwear,37804
Bottomwear,18197
Footwear,16187
Topwear,2842
Socks,22543
Footwear,22146
Topwear,36794
Topwear,16299
Dress,11033
Topwear,57423
Topwear,18978
Topwear,14164
Topwear,10818
Topwear,28390
Topwear,25647
Topwear,29369
Topwear,10049
Topwear,14582
Topwear,21891
Topwear,29957
Topwear,43631
Topwear,2607
Footwear,39013
Topwear,4225
Bottomwear,41256
Topwear,9885
Bottomwear,15410
Socks,13198
Footwear,22276
Bottomwear,21782
Bottomwear,47614
Bottomwear,4786
Topwear,5303
null,32551
null,38682
Topwear,17154
Bottomwear,34546
Topwear,40004
Dress,38841
Topwear,48535
Topwear,33996
Topwear,44867
Socks,49593
Topwear,6037
Bottomwear,3909
Socks,6100
Not clothing,36520
Topwear,34042
Bottomwear,4343
Innerwear,50693
Topwear,53401
Topwear,1849
Socks,3827
Innerwear,51193
Not Applicable,35115
Socks,15729
null,36700
null,55951
Topwear,40941
Topwear,29419
Topwear,16910
Topwear,20522
Topwear,31657
Topwear,27151
Topwear,17181
Dress,40148
Topwear,3351
Topwear,21985
Not Applicable,43389
null,21954
Topwear,15317
Topwear,3974
Topwear,19825
None,56113
Topwear,42603
None,57761
Topwear,11026
Not Applicable,44245
Watches,39364
Bottomwear,36886
Topwear,48859
Topwear,12667
Bottomwear,39104
Topwear,25806
Topwear,24873
Topwear,58800
Socks,6510
Bottomwear,47074
Socks,7665
Topwear,9546
Topwear,48441
Topwear,54897
Bottomwear,36619
null,49891
Topwear,4038
Dress,30857
null,56173
null,36988
Topwear,38020
Socks,3506
Dress,42643
Topwear,10579
Footwear,45340
Footwear,22886
Socks,18586
Topwear,12799
Socks,18345
Dress,59968
Topwear,36772
Bottomwear,20769
Footwear,29235
Socks,46332
Bottomwear,32836
Topwear,7460
Bottomwear,3462
Topwear,12907
Dress,43511
null,17100
Footwear,19031
null,2651
Topwear,5851
Bottomwear,14373
Topwear,38015
Topwear,45776
Socks,8075
Topwear,4817
Socks,12481
Bottomwear,31570
Topwear,15606
Not Applicable,15919
Topwear,36725
Topwear,47028
Topwear,2045
Bottomwear,7935
Topwear,10689
Dress,43676
Topwear,40657
Topwear,4805
Footwear,17738
Innerwear,28085
Socks,18479
Bottomwear,4101
Socks,32169
Bottomwear,5359
Topwear,23031
Topwear,8402
Topwear,44969
Bottomwear,8493
Topwear,57127
None,55052
Dress,25503
Bottomwear,14981
Topwear,17922
Topwear,16206
Topwear,58611
Topwear,23977
Topwear,24693
None,55851
Topwear,25827
Topwear,2048
Dress,6086
Apparel,1624
null,56174
Socks,4344
Topwear,8221
null,49001
Topwear,20212
Topwear,2035
Innerwear,1583
Topwear,17557
Topwear,20966
null,59547
Innerwear,59686
Footwear,5616
None,54621
None,55122
Topwear,7132
None,55423
Bottomwear,57896
None,58165
Topwear,59772
Topwear,6958
null,58129
Socks,7671
Topwear,55599
Topwear,9976
Socks,54520
Topwear,7058
Not Applicable,55015
Topwear,59306
