ID,Finish,Race,Distance,Track,Condition
0,3rd,Oak Tree Derby,One and One-Eighth Miles (Turf),Oak Tree at Santa Anita Park,Firm
1,1st,La Jolla Handicap,One and One-Sixteenth Miles (Turf),Del Mar Racetrack,Firm
2,3rd,Swaps Breeders' Cup Stakes,One and One-Eighth Miles,Hollywood Park Racetrack,Fast
3,2nd,Affirmed Handicap,One and One-Sixteenth Miles,Hollywood Park Racetrack,Fast
4,18th,Kentucky Derby,One and One-Quarter Miles,Churchill Downs,Fast
5,3rd,Santa Anita Derby,One and One-Eighth Miles,Santa Anita Park,Fast
6,1st,San Felipe Stakes,One and One-Sixteenth Miles,Santa Anita Park,Fast
7,4th,El Camino Real Derby,One and One-Sixteenth Miles,Bay Meadows,Fast
8,4th,Hollywood Futurity,One and One-Sixteenth Miles,Hollywood Park Racetrack,Fast
9,1st,Allowance,One Mile,Oak Tree at Santa Anita Park,Fast
10,2nd,Norfolk Stakes,One and One-Sixteenth Miles,Oak Tree at Santa Anita Park,Fast
11,6th,Del Mar Futurity,Seven Furlongs,Del Mar Racetrack,Fast
12,1st,Maiden Special Weight,Seven Furlongs,Hollywood Park Racetrack,Fast
