Year,Title,Role,Notes
1957,A Dangerous Age,David,
1959,The Hanging Tree,Rune,
1962,No Exit,Camarero,
1970,"Tell Me That You Love Me, Junie Moon",Jesse,
1972,The Outside Man,Desk Clerk,
1973,The Candy Snatchers,Avery,
1974,The Waltons,George Reed,"The Five-Foot Shelf"
1975,Gunsmoke,Fifer,"Hard Labor"
1976,The Bad News Bears,Bob Whitewood,
1977,I Never Promised You a Rose Garden,Jay Blake,
1979,Nightwing,Roger Piggott,
1979,"The Concorde ... Airport '79",Associate,"TV version, Uncredited"
1980,The Blues Brothers,Father,
1982,Waltz Across Texas,Bill Wrather,
1982,Dallas,Walt Driscoll,"TV series, Season 6 (11 episodes)"
1985,Mask,Mr. Simms,
1985,The Twilight Zone,Dr. Vaughn Heilman,"TV series, (segment ""Chameleon"")"
1988,Clean and Sober,Kramer,
1990,Rocky V,Doctor,Uncredited
1991,Guilty by Suspicion,Darryl Zanuck,(Final Film Role)
