row_id,Airlines,Destinations,Airport
0,Nile Air,"Alexandria, Assiut, Cairo, Luxor, Sohag",King Abdulaziz International Airport
1,Frontier Airlines,"Atlanta, Boston, Buffalo, Burlington (VT), Charlotte, Chicago–Midway, Chicago–O'Hare, Cincinnati, Cleveland, Dallas/Fort Worth, Denver, Hartford, Kansas City (begins October 11, 2025), Long Island/Islip, New York–JFK, Philadelphia, Portland (ME), Raleigh/Durham, San Juan, St. Louis (resumes October 11, 2025), Trenton, Washington–Dulles",
2,Jetstar,"Melbourne, Perth, Sydney",Phuket International Airport
3,Eastar Jet,Seoul–Incheon,Fukuoka Airport
4,Sepehran Airlines,"Mashhad, Tehran–Imam Khomeini",Baghdad International Airport
5,IndiGo,"Bengaluru, Bhubaneswar, Chennai, Delhi, Guwahati, Hyderabad, Mumbai, Siliguri",Kazi Nazrul Islam Airport
6,Shandong Airlines,Jinan,Sanya Phoenix International Airport
7,Korean Air,Seoul–Incheon,Chiang Mai International Airport
8,HK Express,Hong Kong,Fukuoka Airport
9,Jeju Air,"Busan, Jeju, Seoul–Incheon, Muan",Fukuoka Airport
10,Colorful Guizhou Airlines,Guiyang,Sanya Phoenix International Airport
11,Hebei Airlines,Shijiazhuang,Sanya Phoenix International Airport
12,Frontier Airlines,"Austin, Chicago–O’Hare, Dallas/Fort Worth, Denver, Las Vegas, Phoenix–Sky Harbor, Sacramento, Salt Lake City, San Francisco",San Diego International Airport
13,Delta Air Lines,Atlanta,Louisville International Airport
14,Cathay Pacific,Hong Kong,Mactan–Cebu International Airport
15,Thai Lion Air,Bangkok–Don Mueang,Soekarno–Hatta International Airport
16,Garuda Indonesia,Jayapura,Mopah International Airport
17,Viva,"Guadalajara, Mexico City, Monterrey",McCarran International Airport
18,China Airlines,Taipei–Taoyuan,New Chitose Airport
19,Egyptair,"Alexandria, Cairo, Sharm El Sheikh",Prince Mohammad bin Abdulaziz International Airport
20,Hawaiian Airlines,Honolulu,Phoenix Sky Harbor International Airport
21,JetBlue,"Boston, Cancún, Fort Lauderdale (begins December 4, 2025), Hartford, New York–JFK, New York–LaGuardia, Newark, Providence, San Juan, White Plains",
