ID,uri
11,gs://bq-mm-benchmark-mmqa-images/0b256915936f8a7be8fbd9292104763b.jpg
11,gs://bq-mm-benchmark-mmqa-images/0bea7385faf531b75fbd36e7769ee8ea.jpg
6,gs://bq-mm-benchmark-mmqa-images/0c078d3517c917ac586f1d79f0f7575c.jpg
1,gs://bq-mm-benchmark-mmqa-images/0a78c5f6c9e1601b21c0e6cc7d4a13ed.jpg
6,gs://bq-mm-benchmark-mmqa-images/0b1eaf0cadce1b185f1c1e179b406eef.jpg
11,gs://bq-mm-benchmark-mmqa-images/0bc2d39861a25d74b8b734246304726d.jpg
6,gs://bq-mm-benchmark-mmqa-images/0a9a20c1ee2a00eb504b22ef77b6dd31.jpg
5,gs://bq-mm-benchmark-mmqa-images/0a8323480f0ef71d2096efacd8ca1742.jpg
6,gs://bq-mm-benchmark-mmqa-images/0e372ef850391ab72ed5ae8bdedc90bb.jpg
11,gs://bq-mm-benchmark-mmqa-images/0c9b4d169ebf6db45752c66ad16f568c.jpg
6,gs://bq-mm-benchmark-mmqa-images/0ac83693b42f451f27c992a887c38887.jpg
11,gs://bq-mm-benchmark-mmqa-images/0e55b397c7770893544eb92ddc680b23.jpg
5,gs://bq-mm-benchmark-mmqa-images/0bf8dc8a2ea59458ce518928642251a6.jpg
1,gs://bq-mm-benchmark-mmqa-images/0ae33ebeef3b42eb5d00d948a54e08d7.jpg
1,gs://bq-mm-benchmark-mmqa-images/0bea7385faf531b75fbd36e7769ee8ea.jpg
5,gs://bq-mm-benchmark-mmqa-images/0c078d3517c917ac586f1d79f0f7575c.jpg
11,gs://bq-mm-benchmark-mmqa-images/0a78c5f6c9e1601b21c0e6cc7d4a13ed.jpg
6,gs://bq-mm-benchmark-mmqa-images/0d9f69db877e52ae3e265c9ca9e47c78.jpg
4,gs://bq-mm-benchmark-mmqa-images/00e045cfe25f58c8ccc98fb93bde189d.jpg
6,gs://bq-mm-benchmark-mmqa-images/0ba22c5e934592d718f1ff9087bf6161.jpg
6,gs://bq-mm-benchmark-mmqa-images/0bccae18d1bc23b9e560891520b2c3dd.jpg
11,gs://bq-mm-benchmark-mmqa-images/0d4a9de9497f50ca68f84fa967b41fb2.jpg
6,gs://bq-mm-benchmark-mmqa-images/0a408d1fa77bd80284d7056dc79a8721.jpg
11,gs://bq-mm-benchmark-mmqa-images/0df5cc80bcd2a27b91224d658ad3a7b5.jpg
5,gs://bq-mm-benchmark-mmqa-images/0ac83693b42f451f27c992a887c38887.jpg
4,gs://bq-mm-benchmark-mmqa-images/0d8b82c37d0589c35d023de04cef5d40.jpg
1,gs://bq-mm-benchmark-mmqa-images/0bc2d39861a25d74b8b734246304726d.jpg
