genre,movies_in_genre
Action,Now You See Me 2
Adventure,High Road
Comedy,"High Road, Queens of Country"
Crime,Love Is the Drug
Drama,Love Is the Drug
Heist,Now You See Me 2
Thriller,"Love Is the Drug, Now You See Me 2"
Western,The Last Rites of Ransom Pride
action,"Extinction, Item 47, The Interview"
adventure,Item 47
biographical,127 Hours
biography,The Disaster Artist
christmas,The Night Before
comedy,"The Night Before, 3, 2, 1... Frankie Go Boom, The Interview, Bachelorette, Hot Tub Time Machine, Orange County, The Disaster Artist"
crime,Crossing Over
drama,"Crashing, 127 Hours, Crossing Over, Save the Date, The Disaster Artist"
farce,Hot Tub Time Machine
horror,"Cloverfield, Cobweb"
monster,Cloverfield
non-fiction,The Disaster Artist
political satire,The Interview
romantic,Allied
romantic comedy,"The People We Hate at the Wedding, My Best Friend's Girl, Save the Date"
sci-fi,"Cloverfield, Item 47"
science fiction,"Extinction, Hot Tub Time Machine"
stoner film,The Night Before
thriller,Allied
war drama,Allied
