genre,movies_in_genre
None,"Item 47, Love Is the Drug, Mean Girls, Queens of Country"
Western,The Last Rites of Ransom Pride
action,"The Interview, Extinction"
biographical,127 Hours
comedy,"The Interview, Bachelorette, High Road, Orange County, Hot Tub Time Machine, 3, 2, 1... Frankie Go Boom, The Night Before"
crime,Crossing Over
drama,"127 Hours, Crossing Over, Crashing"
farce,Hot Tub Time Machine
heist film,Now You See Me 2
horror,"Cloverfield, Cobweb"
monster,Cloverfield
non-fiction,The Disaster Artist
political satire,The Interview
romantic comedy,"My Best Friend's Girl, The People We Hate at the Wedding"
romantic comedy-drama,Save the Date
romantic drama,The Disaster Artist
romantic war drama thriller,Allied
science fiction,"Hot Tub Time Machine, Extinction"
