id,reviewId,creationDate,criticName,isTopCritic,publicatioName,reviewUrl,reviewText
get_out,2655994,2019-12-23,Randall King,False,Winnipeg Free Press,http://www.winnipegfreepress.com/arts-and-life/entertainment/movies/,"Come for the scares. Stay for the humour, which is scalpel-sharp."
taken_3,2249445,2015-03-03,John Beifuss,False,"Commercial Appeal (Memphis, TN)",http://www.commercialappeal.com/go-memphis/entertainment-bog/mini-review-taken-3,"He never discovers the real killers are returning director Olivier Megaton and producer-auteur Luc Besson, who callously dispose of the sympathetic Lenore to create new motivation for their hero's lethal kinesthesia and for their own chaotic set pieces."
spider_man_far_from_home,2610735,2019-08-01,Sean Keane,False,CNET,https://www.cnet.com/news/spider-man-far-from-home-review-the-perfect-avengers-endgame-epilogue/,"Holland is spectacular, proving hilarious and warm throughout his European adventure -- he gets a pretty rad set of costumes too."
star_wars_the_last_jedi,2525226,2018-10-31,Ian Thomas Malone,False,ianthomasmalone.com,https://ianthomasmalone.com/2017/12/the-last-jedi-offers-aimless-entertainment/#comments,The Last Jedi offers aimless entertainment.
first_man,2519431,2018-10-17,James Kendrick,False,Q Network Film Desk,http://www.qnetwork.com/review/4100,deserves kudos for bravery in tackling a difficult character and refusing to soft-sell his shortcomings or offer easy pabulum to the audience who might be looking for some superficial reinforcement of American greatness
first_man,2617930,2019-08-21,Linda and Al Lerner,False,Movies and Shakers,https://moviesandshakers.com/first-man/,"This may be [Damien] Chazelle's best film yet. It may not be a joyous celebration, but watching the intense performances and the meticulous detail, should put your over the moon."
solo_a_star_wars_story,2607017,2019-07-19,Víctor López G.,False,Espinof,https://www.espinof.com/criticas/han-solo-historia-star-wars-encantadora-aventura-espiritu-western-mas-nejo,"With the exception of Emilia Clarke, who is insipid, the rest of the interpreters promote the story with their talent and spirit. [Full Review in Spanish]"
widows_2018,2677961,2020-03-18,Dan Scully,False,Cinema76,https://www.cinema76.com/home/2018/11/16/widows-is-the-best-theatrical-experience-of-the-year,Everything about Widows works. There's just no resisting it.
ant_man_and_the_wasp_quantumania,102780513,2023-02-16,Richard Crouse,False,Richard Crouse,https://richardcrouse.ca/ant-man-and-the-wasp-quantumania-2-%c2%bd-stars/,Rudd&#8217;s charisma brings a lightness of touch&#44; and he provides some genuinely funny moments in the film&#46; Majors brings the secret sauce as a great cartoon villain&#44; but the talky script and messy action scenes suck away much of the fun&#46;
spider_man_far_from_home,2602222,2019-07-03,Shyama Krishna Kumar,False,Gulf News (UAE),https://gulfnews.com/going-out/movie-reviews/spider-man-far-from-home-film-review-tom-holland-at-his-best-1.64995263,"It's a familiar Spider-Man story, told in an entirely fresh way, and it completely works here."
ant_man_and_the_wasp_quantumania,102780692,2023-02-17,Josh Wilding,False,ComicBookMovie.com,https://comicbookmovie.com/ant_man/ant_man-and-the-wasp-quantumania/ant-man-and-the-wasp-quantumania-review-jonathan-majors-makes-phase-5-opener-an-epic-tale-to-astonish-a200540,Despite being an example of why a movie shouldn&#8217;t be shot almost entirely in The Volume&#44; every time Jonathan Majors steps on screen as Kang&#44; Ant-Man and The Wasp&#58; Quantumania is an epic tale to astonish and a monumental chapter in the Multiverse Saga&#46; 
first_man,2549626,2019-01-19,Pete Vonder Haar,False,Houston Press,https://www.houstonpress.com/arts/damien-chazelles-first-man-is-a-truly-cinematic-moonshot-10937291,"Did Ed White have it right when he said, ""If a civilization doesn't try to expand its horizons, it can never grow as a nation."" What was that about American prestige again?"
top_gun_maverick,102771585,2023-01-23,Felix Vasquez Jr.,False,Cinema Crazed,https://www.cinema-crazed.com/blog/2023/01/22/top-gun-maverick-2022/,A big jingoistic cartoon&#46; But it&#8217;s a fun jingoistic cartoon&#46;&#46;&#46;
captain_marvel,2565348,2019-03-08,James Verniere,False,Boston Herald,https://www.bostonherald.com/2019/03/08/superhero-slog-not-much-to-marvel-at/,"Captain Marvel could not be duller beside DC's Wonder Woman if she tried. Apparently, personality is not the Captain's superpower."
taken_3,2241844,2015-01-10,Eric D. Snider,False,GeekNation,http://geeknation.com/review-taken-3-again-fails-to-realize-what-we-liked-about-taken/,This intentionally superficial character and premise have been stretched out much further than they were ever meant to be stretched.
taken_3,2241491,2015-01-08,Kate Muir,True,Times (UK),http://www.thetimes.co.uk/tto/arts/film/reviews/article4317621.ece,"With his third kidnapping caper, Taken 3, Liam Neeson takes self-parody to new lows and the result is hysterically, enjoyably bad."
star_wars_the_rise_of_skywalker,2654378,2019-12-18,Evan Dossey,False,Midwest Film Journal,https://midwestfilmjournal.com/2019/12/18/star-wars-the-rise-of-skywalker/,"""The Rise of Skywalker"" brings the sequel trilogy's characters to a stirring emotional conclusion that befits the franchise as a whole ... while also offering a gratifying and delightfully bizarre denouement."
ant_man_and_the_wasp_quantumania,102789858,2023-03-18,MontiLee Stormer,False,MovieReelist.com,https://moviereelist.com/review/ant-man-quantumania/,The MCU spent Phase 4 showing a sprawling universe at some point&#44; they&#8217;re all going to have to come together to beat the crap out of each other&#46; We&#8217;ve got a whole multiverse to sit down to&#44; so let Ant-Man and the Wasp&#58; Quantumania be that appetizer&#46;
jurassic_world_fallen_kingdom,2526573,2018-11-01,Matt Oakes,False,Silver Screen Riot,https://silverscreenriot.com/out-in-theaters-jurassic-world-fallen-kingdom/,The thrill of dinosaurs invading our cineplexes has gone extinct.
the_revenant_2015,2303329,2016-01-10,Simon Miraudo,False,Student Edge,https://studentedge.com.au/article/movie-review-the-revenant,"If you absolutely have to watch a film about an incredibly inventive man surviving in the absolute worst conditions imaginable, can I recommend The Grey instead?"
black_panther_2018,2458139,2018-02-15,Devesh Sharma,False,Filmfare,https://www.filmfare.com/reviews/bollywood-movies/black-panther-movie-review-the-best-superhero-origin-story-in-recent-times-26618.html,"Coogler has played with the age of dilemma of winning freedom through armed struggle versus gaining it through peaceful means. But Black Panther is no Gandhi, he's a superhero with enhanced abilities and a combat suit that James Bond would kill for."
nomadland,2769699,2021-02-19,James Verniere,False,Boston Herald,https://www.bostonherald.com/2021/02/19/nomadland-mines-appeal-of-life-off-the-grid/,Turn on (your engines) tune in (your radios) and drop out. Film mines appeal of alternate lifestyle.
booksmart,2586843,2019-05-16,Roger Moore,False,Movie Nation,https://rogersmovienation.com/2019/05/16/movie-review-one-night-makes-teens-see-theres-more-to-life-than-just-being-booksmart/,Smells like teen spirit.
la_la_land,2640829,2019-10-30,Debbie Lynn Elias,False,Behind The Lens,http://behindthelensonline.net/site/reviews/la-la-land/,"[A] glorious, toe-tapping, Technicolor delight!"
everything_everywhere_all_at_once,102764053,2022-12-24,Michael Ward,False,Should I See It,https://www.shouldiseeit.net/reviews/2022/everything-everywhere-all-at-once-2022,&#40;The Daniels&#41; Kwan and Scheinert make everything seem possible&#46; 
ant_man_and_the_wasp_quantumania,102779634,2023-02-14,Linda Marric,True,The Jewish Chronicle,https://www.thejc.com/life-and-culture/all/film-review-ant-man-and-the-wasp-quantumania-silly-and-outrageous-451imglw27P6KEAfMB7BXk,Peyton Reed and screenwriter Jeff Loveness seem to have gotten the tone just right this time around&#46; 
dunkirk_2017,2518712,2018-10-14,Joey Magidson,False,Hollywood News,http://www.hollywoodnews.com/2017/07/20/dunkirk-is-a-towering-achievement-from-christopher-nolan/,"This is a near perfect movie. Nolan has a master's grasp on the material, showcasing it from start to finish."
2012,1854723,2009-11-11,Victoria Alexander,False,FilmsInReview.com,http://www.filmsinreview.com/2009/11/11/2012/,"Terrible with no story, a god-awful cast led by the cursed Amanda Peet, and stale dialogue. Cheesy CGI."
the_batman,102662422,2022-02-28,J. Don Birnam,False,Splash Report,http://splashreport.com/the-batman-review-reeves-pattinson/,"""The Batman"" plays brilliantly like a murder horror mystery for 2h15, and then like a boring superhero movie for the last 30m. Thankfully the great vastly overwhelms the choppy."
ant_man_and_the_wasp_quantumania,102781334,2023-02-20,Wenlei Ma,True,News.com.au,https://www.news.com.au/entertainment/movies/movie-reviews/antman-and-the-wasp-quantumania-sacrificed-to-the-marvel-machine/news-story/ef0a5eb5c0462391f9bd1f414bd1b4d1,A superhero epic of gargantuan proportions that overwhelms and overstimulates&#44; but still manages to deliver some human emotions despite the CGI circus&#46;
a_star_is_born_2018,2524433,2018-10-30,Armond White,False,National Review,https://www.nationalreview.com/2018/10/movie-review-a-star-is-born-remade-wrong-way/,"All Cooper and Gaga do is repeat a self-congratulatory Hollywood motto about artists ""having something to say."" Now is the wrong time for that."
solo_a_star_wars_story,2525181,2018-10-31,Jennifer Heaton,False,Alternative Lens,https://altfilmlens.wordpress.com/2018/05/24/solo-a-star-wars-story-an-alternative-lens-review/,"Solo never does make the case that it needs to exist but, in terms of quality of execution, it's possibly the best movie one could hope for given the brief it has to fulfil."
avengers_endgame,2579791,2019-04-23,Matthew Pejkovic,False,Matt's Movie Reviews,http://www.mattsmoviereviews.net/movie-critic-reviews/avengers-endgame.html,"A grand, clever and heartfelt blockbuster sure to enthral its audience."
star_wars_the_last_jedi,2443730,2017-12-16,Susan Granger,False,SSG Syndicate,http://www.susangranger.com/?p=10406,Rian Johnson's spectacular expansion of George Lucas' galactic adventure franchise is everything you want it to be - and more. What a great holiday gift for moviegoers! May the Force Be With You...
knives_out,2649633,2019-11-27,Danny Leigh,True,Financial Times,https://www.ft.com/content/c58dafc6-1125-11ea-a225-db2f231cfeae,"A viciously droll game of movie Cluedo, the murder mystery dusted off for the modern age."
joker_2019,102755037,2022-11-22,Wesley Lovell,False,Cinema Sight,http://cinemasight.com/review-joker-2019/,In the simply titled Joker&#44; we get yet another version and this one is probably the most toxic of them all and not in a satisfying way&#46;
thor_love_and_thunder,102706155,2022-07-05,David Rooney,True,Hollywood Reporter,https://www.hollywoodreporter.com/movies/movie-reviews/thor-love-and-thunder-1235175416,"The movie feels weightless, flippant, instantly forgettable, sparking neither love nor thunder."
first_man,102775087,2023-01-31,David Gonzalez,False,The Cinematic Reel,https://thecinematicreel.com/reel-review-first-man/,First Man is more than just a technical marvel&#46; It is a film that truly captures the struggle and journey of not just America&#8217;s race to space but a man&#8217;s sacrifice to reach his ultimate goal of walking on the moon&#46; 
knives_out,2623367,2019-09-08,Brian Tallerico,True,RogerEbert.com,https://www.rogerebert.com/reviews/knives-out-2019,"Directing a wildly charismatic cast who are all-in on what he's doing, Johnson confidently stays a step or two ahead of his audience, leaving them breathless but satisfied at the end."
ant_man_and_the_wasp_quantumania,102779486,2023-02-14,Ian Sandwell,False,Digital Spy,https://www.digitalspy.com/movies/a42854659/ant-man-wasp-quantumania-review/,Ant-Man and The Wasp&#58; Quantumania ends up as a movie with great elements&#44; rather than completely satisfying whole&#46;
ant_man_and_the_wasp_quantumania,102779496,2023-02-14,Jenna Anderson,False,ComicBook.com,https://comicbook.com/movies/news/ant-man-and-the-wasp-quantumania-review-mcu-marvel/,With multiple standout performances&#44; an abundantly clear love for the wacky corners of science fiction&#44; and a conflict that is guaranteed to matter in the years to come&#44; Quantumania becomes the weirdest chapter in the MCU&apos;s essential storytelling&#46;
