Summary table for use case 'animals' with model '2.5flash'
	bigquery				lotus				palimpzest				thalamusdb
	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)
Q1	0.11053120000000001	1.3877787807814457e-17	0.7857142857142857	0.0	0.1135512	0.0	0.7857142857142857	0.0	0.12687120000000013	0.0	0.7857142857142857	0.0	0.10893899999999998	1.3877787807814457e-17	0.7857142857142857	0.0
Q10	0.11053120000000001	1.3877787807814457e-17	0.0	0.0	0.1135512	0.0	1.0	0.0	0.12687120000000013	1.7554167342883506e-17	0.0	0.0	0.032662	0.0	0.0	0.0
Q2	0.0058266	0.0	0.18677729677729676	0.027617280040691028					0.011720399999999997	3.5551252101777284e-18	0.16666666666666666	0.0	0.006005	0.0	0.1388888888888889	0.0
Q3	0.11053120000000001	1.3877787807814457e-17	0.0	0.0	0.1135512	0.0	1.0	0.0	0.12687120000000013	1.7554167342883506e-17	0.0	0.0	0.032662	0.0	0.0	0.0
Q4	0.0058266	0.0	1.0	0.0					0.011720399999999997	2.052552497098936e-18	0.0	0.0	0.001381	0.0	0.0	0.0
Q5	0.1163578	0.0	0.7499999999999999	0.0					0.12687120000000013	1.7554167342883506e-17	0.7499999999999999	0.0	0.012268	0.0	0.7499999999999999	0.0
Q6	0.1163578	0.0	0.2	0.24494897427831783					0.12687120000000013	1.7554167342883506e-17	0.0	0	0.060441	0.0	0.5	0.0
Q7	0.2211224	0.0	1.0	0.0	0.22716240000000001	2.7755575615628914e-17	1.0	0.0	0.12687120000000013	1.7554167342883506e-17	1.0	0.0	0.196952	0.0	1.0	0.0
Q8	0.2327156	0.0	0.7499999999999999	0.0					0.12687120000000013	2.1499376424746292e-17	0.7499999999999999	0.0	0.120882	0.0	0.7499999999999999	0.0
Q9	0.1163578	0.0	0.5904761904761905	0.03809523809523805					0.12687120000000013	1.7554167342883506e-17	0.5714285714285715	0.0	0.082525	0.0	0.6666666666666666	0.0
