Summary table for use case 'medical' with model '2.5flash'
	bigquery				lotus				palimpzest				thalamusdb
	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)
Q1	1.0061386750000003	0.007571876611638324	0.30888030888030893	0.0	0.0626982	0.0	0.4048263629574309	0.0016977719827738148	0.1044923999999998	3.8005887153050735e-17	0.31386861313868614	0.0	0.022074	0.0	0.2838739434145448	0.00805225917194191
Q10	3.7753298000000006	0.039754504265240104	0.5847395865675853	0.009186316045236865	0.15862695	1.956559480312721e-05	0.5453672629183617	0.0005784403696019676	0.25537990000000016	1.415262216750919e-16	0.5144469840958082	0.0				
Q2	0.2548599	0.0	0.0	0.0					0.12399449999999992	2.0816681711721685e-17	0.08333333333333334	0.0	0.146267	0.0	0.04	0.04
Q3	5.941020925	0.1302720340144684	1.0	0.0	0.7327134	0.0	0.6	0.0	0.00364095	0.00021745897889027254	0.6	0.0	0.015549	0.0	0.9090909090909091	0.0
Q4	0.6463678	0.0	0.9846340903877036	0.0	0.0630582	0.0	0.9921994426111526	0.0007504108013027102	0.1048523999999999	8.297710257163942e-17	0.9626846692714957	0.0	0.02238	0.0	0.94373356979679	0.0005351306883992588
Q5	5.379168825	2.2863068289480784	0.5	0.0					0.0041694	0.0	1.0	0.0	0.405465	0.0	0.5	0.0
Q6	0.799122	0.0004644274755007203	0.5312190202714252	0.01186542335240374					0.06681655000000009	0.001752241235532367	0.48410093253033665	0.006642674790023439	0.033685	0.0	0.0	0.0
Q7	14.4563389	0.6643810666318589	0.873624375337871	0.0005543556717021151					4.238132800000098	1.3322676295501878e-15	0.8642941186258267	0.0002699457749122449	0.246056	0.0	0.1417600161229285	0.00020422848833607073
Q8	2.812205275	0.016903485566796037	0.5575000000000001	0.012990381056766543	0.105078	0.0	0.7299999999999999	0.0	0.08207894999999996	0.004858055428100732	0.645	0.011180339887498959	0.094656	0.0	0.6075973434411629	0.016181497964924057
Q9	1.497388525	9.742785792590687e-06	0.5454545454545454	0.0	0.3171006	0.0	0.5716311743868214	0.0005185186269392902	0.4326224999999971	0.0	0.37858032378580325	0.0	0.48387	0.0003824264635194603	0.0	0.0
