Summary table for use case 'movie' with model '2.5flash'
	bigquery				lotus				palimpzest				thalamusdb
	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)
Q1	0.04779366	0.0005438963048228977	1.0	0.0	0.08689440000000002	0.0	1.0	0.0	0.00135996	0.0002973406773383016	1.0	0.0	0.0004180000000000001	5.421010862427522e-20	0.9523809523809523	0.0
Q10	0.13159300000000002	0.0	0.4378458954798326	0.00024316928384540955	0.13029439999999987	0.0	0.403922219806559	0.0	0.3791976	2.1925147983971603e-16	0.4198479947725463	5.551115123125783e-17				
Q2	0.0030101999999999998	2.092548685216176e-05	1.0	0.0	0.005052899999999999	0.0	1.0	0.0	0.006835259999999998	3.5566591065211706e-05	1.0	0.0	0.001511	0.0	0.923076923076923	0.0
Q3	0.0031301999999999996	0.0	0.6363636363636364	0.0	0.004944900000000002	0.0	0.6363636363636364	0.0	0.009190199999999999	2.052552497098936e-18	0.6363636363636364	0.0	0.002277	0.0	0.7368421052631579	0.0
Q4	0.0031301999999999996	0.0	0.6363636260190287	0.0	0.0049809	0.0	0.6363636260190287	0.0	0.018802199999999998	5.594315114139763e-18	0.7368421006400829	0.0	0.002277	0.0	0.7368421006400829	0.0
Q5	1.00553364	0.0015743962444061412	0.8852631578947369	0.09069751254121275	2.3752168400000153	0.21059451044377833	0.5866666666666667	0.06531972647421806	0.011892000000000003	3.291406376790657e-18	0.39263157894736833	0.12101143463747294	0.0011430000000000001	7.348469228349543e-05	1.0	0.0
Q6	0.99979445	0.0007354141333289884	0.6921052631578948	0.03804429551263407	1.8087267800000546	0.02653901482281457	0.6666666666666666	0.0	0.011862	3.103167691559091e-18	0.8292397660818714	0.025730994152046847	0.0008699999999999999	1.0842021724855044e-19	0.8423255813953487	0.006266136551305827
Q7	3.305926233333333	0.06793639333162226	0.6953329837441006	1.1102230246251565e-16	1.8084140000000517	0.028046755578070372	0.2081096485181348	0.008668392554276023	7.718707199999696	4.670670131039213e-14	0.6790090570058605	0.0	0.1520592	0.00044792561882526653	0.5693336325872699	0.0025311421409303344
Q8	0.0031301999999999996	0.0	0.7556008146639512	0.0	0.004020899999999999	0.0	0.9251870324189525	0.0	0.018478200000000004	3.800588715305073e-18	0.8607888631090488	0.0	0.004553	0.0	0.8318385650224215	0.0
Q9	0.017769800000000002	0.0	0.776055863697131	0.0	0.017751399999999994	0.0	0.7483457884063187	0.0	0.049673999999999954	1.3526394372366473e-17	0.7800767559272072	0.0				
