Summary table for use case 'ecomm' with model '2.5flash'
	bigquery				lotus				palimpzest				thalamusdb
	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)
Q1	0.0369887	9.797958971134013e-06	0.5890909090909091	0.021818181818181827	0.0581325	4.388541835720876e-18	1.0	0.0	0.08105129999999998	4.022165030534275e-17	1.0	0.0	0.034089	0.0	1.0	0.0
Q2	3.9631486000000002	4.898979485598451e-06	0.20512820512820512	0.0	0.18050219999999995	0.16319790000000003	0.8666666666666667	0.038490017945975015	0.3771254999999961	1.7554167342883506e-16	0.8333333333333333	0.0	0.310044	0.0	0.6666666666666666	0.0
Q3	0.12159800000000001	0.0027060037878761365	0.9665409281982112	0.003709088781594664	0.07233089999999998	2.8740215726383665e-05	0.9654088689321231	0.0015191817739321875	0.11972160000000001	9.99999999982959e-07	0.9780601766811241	0.0011983336362018093				
Q4	0.36777279999999996	0.010369297637738055	0.6898177229673987	0.02498652026526758	0.13514108	0.09694944194742744	0.44872324844924905	0.0011209207828501101	0.23902647999999957	0.00021264000000001949	0.5277837685731978	0.002416056652347912				
Q5	0.16803300000000004	0.0024302569822963233	0.9798628037456402	0.00021146655383466522	0.039112	4.388541835720876e-18	0.9936456287579001	1.1102230246251565e-16	0.06731970000000001	4.0000000000102455e-06	0.9808985983174583	1.1102230246251565e-16				
Q6	0.35031239999999997	0.004062235652937926	0.878100088166517	0.012944191313673761	0.12263142000000002	0.0842919390082444	0.8865245639120412	0.0	0.4299909000000007	2.4450125863434693e-16	0.8926159220479036	1.1102230246251565e-16				
Q7	0.8629324	0.00018247191564731412	0.8309133805190427	0.0009639366363329849	1.3276127999999974	1.7855847292324877e-15	0.7521865889212828	0.0	1.7879007600000016	0.002120879999997505	0.9247043909688981	0.0012239634559482403	0.0789716	6.122287154323867e-05	0.5127335446994127	0.007326825731272976
Q8	18.2302714	5.4037024344483336e-05	0.2857142857142857	0.0	0.00355986	0.002616348984061568	1.0	0.0	0.009766799999999999	0.0	1.0	0.0	0.30310299999999996	1.9798989873216963e-05	0.0	0.0
Q9	0.21296519999999997	0.0018201168841588198	0.5789473684210527	0.0	0.059673299999999985	0.026343404554461082	0.5496828752642706	0.005979761363099783	0.09649529999999962	0.0	0.4888888888888888	0.0	0.3061235	2.2500000000003996e-05	0.0	0.0
Q10					0.20663759999999984	0.14628600000000017	0.0	0.0	1.0196878199999992	0.003633590417424549	0.055098934550989354	0.0003728294890080941				
Q11					0.2745147000000009	0	0.7816091954022987	0	0.6067264800000002	0.0006806399999999879	0.7346938775510204	0.0				
Q12	0.10470922	0.0004019291101674495	0.9696969696969697	0.0	0.10026935	0.017929180061773596	0.601010101010101	0.008747731351358022	0.13632689999999997	4.2998752849492583e-17	0.0	0.0				
Q13	0.37998129999999997	4.898979485571255e-06	0.6956521739130435	0.0	0.23937420000000004	0.16319790000000003	0.7368421052631579	0.0	0.44064330000000007	0.0033586022771384715	0.7350197628458497	0.07083003952569168				
Q14	4.2580770999999995	0.1588096003148423	0.3666666666666666	0.30550504633038933	0.23457606000000003	0.17779797661253174	0.8666666666666666	0.16329931618554522								
