Summary table for use case 'mmqa' with model 'gemini-2.5-flash'
	bigquery				lotus				palimpzest				thalamusdb
	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)	cost	STDDEV(cost)	accuracy	STDDEV(accuracy)
Q1	0.0088274	5.6013391256020455e-05	1.0	0.0	0.01746595	2.7950849718759807e-06	1.0	0.0	0.0027146	2.7428386473255477e-19	1.0	0.0				
Q4	0.0020939	3.751666296460816e-05	0.6038147246012414	0.021675244321520855					0.0047761999999999995	1.026276248549468e-18	0.5432098765432098	0.0				
Q5					0.0010260999999999998	0.0	1.0	0.0	0.0012420999999999999	2.4494897427831843e-06	1.0	0.0				
Q7	1.1821646	0.00026141155291987386	0.0	0.0	13.607999999999999	1.7763568394002505e-15	0.31586021505376344	0.004752061701522519	15.648951239998397	0.0002510592009578809	0.3069295900178253	0.0073815814498562555				
Q2a	0.0825307	4.2142615011410286e-05	0.0	0.0	0.8891441999999998	0.0	0.8333333333333333	0.0	1.0350042000000095	3.8778423131653425e-15	1.0	0.0				
Q2b	0.11512916	0.0004334439368591961	0.0	0.0	0.8911785999999999	0.0	0.8333333333333333	0.0	1.0372557000000047	3.3439652108698504e-15	1.0	0.0				
Q3a	0.009846	3.999999999999837e-06	0.7222222222222222	0.0	0.013238699999999997	1.734723475976807e-18	0.8275862068965518	1.1102230246251565e-16	0.021349499999999993	5.594315114139763e-18	0.8000000000000002	0.0	0.00832	0.0	0.7499999999999999	0.0
Q3f	0.009847999999999999	4.898979485566157e-06	0.6666666666666666	0.0	0.013238699999999997	1.734723475976807e-18	1.0	0.0	0.023689499999999985	3.800588715305073e-18	1.0	0.0	0.00838	0.0	1.0	0.0
Q6a	0.004094	3.999999999999837e-06	0.028985507246376812	0.0	0.0076335	0.0	1.0	0.0	0.015671100000000014	2.194270917860438e-18	1.0	0.0	0.002235	0.0	0.33333333333333337	0.0
Q6b	0.004092	0.0	0.042553191489361694	0.0	0.0076335	0.0	1.0	0.0	0.015671100000000014	3.103167691559091e-18	1.0	0.0	0.002235	0.0	1.0	0.0
Q6c	0.004094	3.999999999999837e-06	0.13466533466533467	0.009590409590409577	0.0076335	0.0	1.0	0.0	0.015671100000000014	2.194270917860438e-18	1.0	0.0	0.002235	0.0	0.5263157894736842	0.0
