ImagePath,Species,City,StationID
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/14th-deployment/2021-10-14-10-24-44.jpg,WARTHOG,Mombasa,Station_C
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/21st-deployment/2021-11-30-16-24-25.jpg,IMPALA,Eldoret,Station_C
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/21st-deployment/2021-11-30-16-36-00.jpg,IMPALA,Nairobi,Station_C
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-23-17-44-19.jpg,IMPALA,Nairobi,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/6th-deployment/2021-08-13-16-22-51.jpg,IMPALA,Nakuru,Station_C
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-24-07-54-08.jpg,IMPALA,Eldoret,Station_D
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-24-06-52-00.jpg,CAN'T TELL,Mombasa,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-23-17-47-57.jpg,IMPALA,Mombasa,Station_C
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/21st-deployment/2021-11-30-16-33-04.jpg,IMPALA,Nairobi,Station_A
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-24-06-51-38.jpg,CAN'T TELL,Nairobi,Station_A
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-23-17-40-30.jpg,IMPALA,Eldoret,Station_C
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-23-18-28-55.jpg,IMPALA,Nakuru,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/21st-deployment/2021-11-30-16-16-28.jpg,IMPALA,Nairobi,Station_A
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-24-07-54-11.jpg,IMPALA,Mombasa,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/17th-deployment/2021-11-03-10-00-52.jpg,CAN'T TELL,Eldoret,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/21st-deployment/2021-11-30-16-45-36.jpg,IMPALA,Nakuru,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/OpenMV_images/snapshot_2019108343234145.jpg,IMPALA,Nairobi,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-24-07-36-16.jpg,IMPALA,Kisumu,Station_C
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/18th-deployment/2021-11-23-06-20-57.jpg,IMPALA,Nairobi,Station_C
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-23-18-28-23.jpg,IMPALA,Eldoret,Station_A
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/16th-deployment/2021-10-22-06-19-22.jpg,IMPALA,Nairobi,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-24-07-21-31.jpg,IMPALA,Mombasa,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/22nd-deployment/2021-12-08-15-17-13.jpg,WARTHOG,Kisumu,Station_C
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/22nd-deployment/2021-12-08-18-00-52.jpg,IMPALA,Mombasa,Station_D
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/22nd-deployment/2021-12-08-15-12-28.jpg,WARTHOG,Nairobi,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/22nd-deployment/2021-12-08-15-04-12.jpg,"IMPALA, WARTHOG",Mombasa,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/22nd-deployment/2021-12-08-15-06-41.jpg,"IMPALA, WARTHOG",Nairobi,Station_D
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/18th-deployment/2021-11-26-07-52-32.jpg,IMPALA,Nairobi,Station_C
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/22nd-deployment/2021-12-08-17-53-42.jpg,IMPALA,Kisumu,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/21st-deployment/2021-11-30-16-39-50.jpg,IMPALA,Nairobi,Station_A
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/10th-deployment/2021-09-22-14-50-06.jpg,MONKEY,Mombasa,Station_A
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/29th-deployment/2021-12-23-17-46-53.jpg,IMPALA,Mombasa,Station_B
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/21st-deployment/2021-11-30-16-45-50.jpg,IMPALA,Mombasa,Station_A
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/OpenMV_images/snapshot_2019108341525129.jpg,IMPALA,Nairobi,Station_A
/home/jiale/SemBench/files/animals/source_data/hypnotu/dsail-porini/versions/2/DSAIL-Porini Annotated camera trap images of wildlife species from a conservancy in Kenya/RaspberryPi_images/21st-deployment/2021-11-30-16-41-57.jpg,IMPALA,Nakuru,Station_A
