id,category
10037,Reebok
10099,Fastrack
10102,Reebok
10284,Clarks
10441,Flying Machine
10579,Puma
10638,Carlton London
10689,Doodle
10818,Wrangler
10839,Wrangler
10855,Wrangler
11026,Wrangler
11507,Catwalk
11710,Lee
12387,Reid & Taylor
12391,Reid & Taylor
12481,Clarks
12692,Nike
12799,Nike
12888,Reebok
12907,Spykar
13112,ADIDAS
13198,ASICS
13479,Rocia
13714,Proline
13737,Belmonte
14164,Belmonte
14582,United Colors of Benetton
14738,Arrow
14981,New Hide
15317,Nike
15410,Fila
15606,Nike
1563,Quechua
15779,Facit
1583,Nabaiji
15919,ADIDAS
16187,enroute
16299,Peter England
16374,Peter England
16508,Locomotive
17154,U.S. Polo Assn.
17737,Puma
17922,Nike
18310,Wills Lifestyle
18345,Fila
18459,David Beckham
18479,Puma
1849,Inkfruit
18530,Chhota Bheem
18559,Catwalk
18586,Puma
18735,Arrow Woman
1891,FIFA
19524,United Colors of Benetton
19825,U.S. Polo Assn.
20212,Wrangler
20255,Wrangler
2035,ADIDAS
2048,ADIDAS
20522,Baggit
20664,Classic Polo
20907,Catwalk
20966,Fastrack
21124,s.Oliver
21253,Skybags
21431,Roxy
21590,Tribord
21954,Murcia
22146,Lee Cooper
22543,Lotto
22886,Woodland
23462,Lino Perros
23977,Peter England
24537,Mother Earth
24873,United Colors of Benetton
25116,Lino Perros
25331,CASIO
25468,Nike
25647,Fastrack
25806,Hidekraft
2606,ADIDAS
2607,ADIDAS
26211,Perry Ellis
2651,Murcia
2670,Murcia
26852,Calvin Klein
26871,Jealous 21
27204,Doodle
27445,Jockey
27474,Jockey
27542,Scullers
27920,Scullers
28085,Jockey
2821,Lee Cooper
28390,Idee
28456,Urban Yoga
28589,Peter England
29193,United Colors of Benetton
29202,Fila
29235,Puma
29369,Genesis
29419,Giordano
29692,John Miller
30292,Myntra
30344,Myntra
30732,Fabindia
30932,Fabindia
31218,Lotto
31570,Mark Taylor
32169,Playboy
32426,ADIDAS
32551,Playboy
32720,Facit
32846,Grendha
33110,Catwalk
3312,Asics
33193,Sepia
33479,Baggit
3351,Myntra
33831,Puma
33996,Femella
34042,Gini and Jony
34077,Clarks
34118,Doodle Girls
34270,Fabindia
3449,ADIDAS
3470,ADIDAS
3479,ADIDAS
34926,Fabindia
35242,Manchester United
35645,U.S. Polo Assn.
35695,Nike
35782,Enroute
36026,OTLS
36515,United Colors of Benetton
36619,Catwalk
36725,Gini and Jony
36794,Maxima
37119,Wills
37148,Campbell
37518,Madagascar
3756,Status Quo
38234,Polaroid
38447,Baggit
38543,Puma
38682,Spice Art
3909,Urban Yoga
39104,Reid & Taylor
39697,Spykar
39873,Catwalk
40148,Gini and Jony
40151,Gini and Jony
4038,Puma
40657,Span
40941,Gini and Jony
41227,Lotto
41256,Arrow
41825,Skechers
42394,Flying Machine
42524,Mother Earth
42643,W
43151,Fastrack
43164,Fastrack
43389,Lino Perros
4343,Fila
4344,Fila
43511,French Connection
43631,Vero Moda
44075,Boss
44245,Hidekraft
44616,Fila
44780,Lotto
44790,Calvin Klein
44980,Maxima
45156,CASIO
45290,CASIO
45340,Cobblerz
45362,Cobblerz
45593,Arrow
45994,Fabindia
46466,Timex
47032,Shree
47203,Franco Leone
47350,Baggit
4800,ADIDAS
4805,ADIDAS
4817,ADIDAS
48332,Pitaraa
48441,French Connection
48492,French Connection
48535,Wrangler
48752,Lucera
48788,Lucera
48858,Lucera
48877,Lucera
49081,Deborah
49593,Catwalk
49885,Q&Q
49938,Hanes
50001,Hanes
50025,Hanes
50718,Doodle
51193,Enamor
52140,Femella
52146,Femella
52435,Red Rose
52564,Mod'acc
52918,Fashion N Fabrics
52975,FNF
5299,Reebok
5300,Reebok
5301,Reebok
5359,Kipsta
53613,Q&Q
53651,Kiara
5381,Quechua
54519,F Sports
54897,Do U Speak Green
55015,Lakme
55052,Lakme
55133,Lakme
55423,Revlon
55891,Colorbar
55944,Colorbar
55951,Colorbar
56038,Colorbar
56113,Colorbar
5616,ADIDAS
56174,Colorbar
56486,Streetwear
56684,Fabindia
57548,Lotus Herbals
57577,Lotus
58097,Rreverie
58121,Rreverie
58165,Rocky S
58611,ToniQ
58800,Highlander
59172,Fortune
59267,Titan
59306,U.S. Polo Assn.
59968,Avirate
59988,Avirate
6510,Red Tape
6651,Nike
6863,Forever New
7006,s.Oliver
7132,Urban Yoga
7146,Scullers
7665,Wrangler
7669,Puma
7671,Wrangler
7747,Indigo Nation
8075,ADIDAS
8221,Fastrack
8493,Forever New
8993,Puma
9449,John Miller
9610,Indigo Nation
10049,Puma
10129,Rockport
10146,Rockport
10238,Esprit
10470,Flying Machine
10599,Nike
11033,Jealous 21
11076,Scullers
11497,Catwalk
11664,Lee
12127,Aurelia
12135,Aurelia
12452,Timberland
12595,Tantra
12667,Probase
13019,Inc 5
13480,Rocia
13605,Hanes
14371,Catwalk
14373,Catwalk
14577,Vans
15330,Nike
15729,Nike
1595,Domyos
16206,Puma
1623,Reebok
1624,Reebok
1638,Nabaiji
16469,Locomotive
16470,Locomotive
16910,Mr. Men
17100,Lino Perros
17181,U.S. Polo Assn.
17331,Pepe Jeans
17454,Casio
17557,Mark Taylor
17738,Puma
18197,Highlander
18286,Aneri
18978,ADIDAS
19024,Catwalk
19031,Catwalk
19219,United Colors of Benetton
19332,United Colors of Benetton
19356,Beyouty
19714,United Colors of Benetton
20412,Baggit
2045,ADIDAS
20579,Baggit
20769,Carlton London
20923,Catwalk
21235,Highlander
21704,Fossil
21782,Fossil
21891,BIBA
21940,Murcia
21985,Murcia
22276,Inc.5
22351,John Players
22459,Myntra
23031,Arrow
23528,Hugo Boss
23746,Ray-Ban
24679,Fastrack
24693,Locomotive
25180,Lino Perros
25380,Levis
25503,Doodle
25827,Diva
26449,Puma
26732,Reebok
27151,Mark Taylor
27797,Bulchee
2842,Mr.Men
28425,Idee
28453,Urban Yoga
28962,BIBA
29218,Fila
29248,ADIDAS
29468,Giordano
29950,Police
29957,Cat
30285,Speedo
30544,Nike
30851,Fabindia
30857,Fabindia
31657,Indigo Nation
31697,Folklore
32221,Fabindia
32392,Arrow
32594,ONLY
32836,Grendha
33081,U.S. Polo Assn. Denim Co.
33097,Catwalk
33822,Puma
34188,Gini and Jony
34492,Van Heusen
34546,Puma
3462,ADIDAS
3506,ADIDAS
35115,Allen Solly
35196,Wildcraft
35807,Enroute
36063,OTLS
36238,W
36430,Spinn
36520,United Colors of Benetton
36700,Nina Ricci
3671,Fila
36772,Maxima
36774,Maxima
36886,Fossil
36988,Lino Perros
37002,Lino Perros
37610,Madagascar3
37804,John Players
37890,Happy Socks
38013,Q&Q
38015,Q&Q
38020,Q&Q
3827,Crocs
38464,Baggit
38631,Nike
38841,Latin Quarters
39013,FILA
39194,Catwalk
39364,Helix
39388,Peter England
3974,Jealous 21
39836,Gini and Jony
40004,Park Avenue
4101,Puma
41239,Arrow
4133,Skechers
41448,Lee Cooper
4225,Probase
42603,Estelle
43047,Nike
43256,Aneri
4355,Batman
43676,French Connection
43864,Royal Diadem
44009,Police
44867,Puma
44969,Maxima
45111,Casio
45776,Remanika
4581,Beatles
46332,Reebok
46399,ADIDAS
46487,Timex
46692,Rasasi
46742,Nike
46790,Nautilus
47028,Shree
47074,Shree
47525,Facit
47614,Portia
47664,Femella
4786,ADIDAS
4811,ADIDAS
48522,French Connection
48644,Lucera
48803,Lucera
48859,Lucera
49001,Lucera
49092,Deborah
4921,Gini and Jony
49621,Catwalk
49891,Q&Q
50238,Stol'n
50619,Chromozome
50693,Chromozome
51145,Parx
51458,Tonga
51754,Catwalk
51922,Nyk
52393,Red Rose
52756,Fiorelli
5303,Reebok
53126,Myntra
5314,Reebok
53401,Alma
53569,Q&Q
53603,Q&Q
53659,Kiara
53807,Puma
54520,F Sports
54598,Sushilas
54621,Fastrack
55122,Lakme
55441,Revlon
55599,Peter England
55851,Colorbar
56173,Colorbar
57078,Elle
57127,Elle
57423,Angry Birds
57559,Lotus Herbals
57761,Lotus Herbals
57896,Femella
58129,Rreverie
