category,id
black,38682
purple,18310
black,30544
white,4133
blue,46692
Dark Grey,1595
Black,45593
black,3479
black,33479
blue,12799
white,19219
black,4811
black,14577
Black,44980
red,1623
Black,36886
Black,20522
black,13714
white,28085
black,15410
black,49938
silver,45111
black,27920
Blue,30285
black,22543
Black,17738
Black,10146
Blue,4101
black,19332
green,43676
black,31657
black,4817
white,40151
blue,4800
brown,38234
silver,1624
white,33831
black,2607
white,28962
green,30851
white,34188
White,13605
orange,12452
white,24873
blue,16910
black,22276
black,43389
green,44867
Pink,36700
blue,40148
brown,22351
white,18345
white,36430
Green,38464
purple,49885
black,23462
black,14582
purple,17557
Red,43047
white,36520
white,29202
white,2651
black,38015
Red,35196
white,41448
red,11033
black,11076
brown,49593
black,34546
black,17331
white,29248
black,25647
black,29235
black,32551
green,36725
Black,13480
white,32426
red,16508
white,26871
Red,3909
blue,15919
black,12481
pink,29218
Black,36026
Blue,10855
black,21954
black,44616
Blue,21891
Blue,15779
black,3312
black,34118
white,11664
Black,41256
Green,43631
black,25331
black,13112
Red,10818
black,35695
blue,13198
red,4343
white,25468
Black,1583
white,48441
Black,43164
green,16469
white,12888
Blue,4344
Black,22146
beige,44075
black,17737
black,10579
blue,1638
dark blue,39388
white,33822
black,21124
Red,32720
black,45156
Black,30732
black,12692
white,29692
black,37890
blue,12667
Black,35645
green,31570
purple,49081
blue,47525
Red,30857
white,3351
black,38013
black,34077
white,23031
black,2045
red,45776
green,27542
brown,37002
Teal,36238
Red,34042
green,38543
Blue,19524
blue,37119
Green,16206
Black,10102
red,47032
blue,20212
Red,21235
blue,48522
Black,39364
white,3506
black,40004
Black,36988
Blue,27204
blue,16470
black,2606
Blue,3974
White,13479
white,11710
Black,33110
blue,37518
blue,44790
Black,2048
dark green,34492
black,25503
black,20923
Orange,47074
blue,20255
black,36772
Black,10049
black,2035
silver,45290
black,12595
Blue,4038
blue,4805
silver,17454
black,35242
silver,46790
Black,29419
white,10599
black,18459
White,10689
blue,17181
black,29950
orange,18530
black,36774
Orange,30932
white,1849
white,21431
brown,36794
Blue,27151
blue,28456
black,4786
red,14371
white,18479
green,40657
Green,32594
Blue,41227
blue,23977
black,46332
White,46466
Red,47614
Black,35115
Green,47350
black,13737
yellow,12387
black,21704
blue,48535
Green,42524
white,1891
Blue,18978
blue,1563
green,19825
white,57423
white,6241
blue,36515
black,51145
blue,55851
white,9640
green,59296
green,9885
black,8103
white,9610
black,6100
Black,29468
black,6064
Red,57559
white,10284
Teal,55891
blue,49891
Black,54621
black,9495
Green,7747
Green,56173
black,3449
Maroon,52756
Red,4921
blue,53651
black,9976
black,8284
black,9390
black,8493
blue,6037
white,59306
black,5299
pink,53569
black,15729
black,5301
red,54897
Red,12127
White,57127
white,58831
black,7935
black,15330
black,53613
black,59968
Black,6510
Black,6302
Black,57078
black,7006
Black,51193
white,7669
Orange,55133
black,8402
black,7058
white,7945
white,54520
blue,53126
Teal,55599
red,7146
pink,56038
Pink,6894
Black,5851
white,6958
black,58611
black,51458
purple,5314
black,59988
black,8075
Blue,8419
black,53603
white,5359
Blue,8872
red,56486
black,6863
black,5303
white,8993
Green,7132
