ID,uri,color
11,gs://bq-mm-benchmark-mmqa-images/0ae33ebeef3b42eb5d00d948a54e08d7.jpg,Orange
6,gs://bq-mm-benchmark-mmqa-images/0dd1e204dee106509d29927739e8379c.jpg,White
1,gs://bq-mm-benchmark-mmqa-images/0b896bf6648d7daabfed0f5ea523139a.jpg,White
6,gs://bq-mm-benchmark-mmqa-images/0c21c34914735826da603a2cfc57eb43.jpg,Blue
5,gs://bq-mm-benchmark-mmqa-images/0dd1e204dee106509d29927739e8379c.jpg,White
6,gs://bq-mm-benchmark-mmqa-images/0cb7529e3db48a6c8dc92c0eb6dfd8d0.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0a185b6389ce9219c35af51be1b2af0b.jpg,Red
4,gs://bq-mm-benchmark-mmqa-images/0a259908f0d108cd11a98a884a10b33c.jpg,Black
4,gs://bq-mm-benchmark-mmqa-images/0a86139ce572199fc2407a51d137639c.jpg,White
5,gs://bq-mm-benchmark-mmqa-images/0c078d3517c917ac586f1d79f0f7575c.jpg,Purple
6,gs://bq-mm-benchmark-mmqa-images/0ba22c5e934592d718f1ff9087bf6161.jpg,There is no logo visible in the image provided.
11,gs://bq-mm-benchmark-mmqa-images/0dd82dd6dec70831338aff8f5187449c.jpg,Black
5,gs://bq-mm-benchmark-mmqa-images/0cb7529e3db48a6c8dc92c0eb6dfd8d0.jpg,Red
1,gs://bq-mm-benchmark-mmqa-images/0caf09a1166b2aae07b4d0f67568c404.jpg,White
6,gs://bq-mm-benchmark-mmqa-images/0a408d1fa77bd80284d7056dc79a8721.jpg,Yellow
6,gs://bq-mm-benchmark-mmqa-images/0d31d3afe2df2f43ad6acc67f24283a6.jpg,White
5,gs://bq-mm-benchmark-mmqa-images/0a408d1fa77bd80284d7056dc79a8721.jpg,Yellow
1,gs://bq-mm-benchmark-mmqa-images/0cf5636ed39f1af90dc53df7ea6ffe5b.jpg,Yellow
5,gs://bq-mm-benchmark-mmqa-images/0bccae18d1bc23b9e560891520b2c3dd.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0b4b3fa98627daa78c49b8b6655c5df7.jpg,Red
5,gs://bq-mm-benchmark-mmqa-images/0bba79d4eec60537f1abb64c624e8341.jpg,Not applicable
11,gs://bq-mm-benchmark-mmqa-images/0df5cc80bcd2a27b91224d658ad3a7b5.jpg,There is no logo present in the image.
5,gs://bq-mm-benchmark-mmqa-images/0aa3794a64a4e5a965406bf7eec17f23.jpg,Red
6,gs://bq-mm-benchmark-mmqa-images/0c7d52ade71694ced9bb64864d32c7be.jpg,Blue
