genre,movies_in_genre
action,"Extinction, The Interview, Item 47"
adventure,Item 47
biographical,127 Hours
christmas,The Night Before
comedy,"The Interview, High Road, Queens of Country, Hot Tub Time Machine, The Night Before, 3, 2, 1... Frankie Go Boom, Orange County, Bachelorette"
crime,Crossing Over
drama,"Love Is the Drug, Allied, Crossing Over, Crashing, 127 Hours"
farce,Hot Tub Time Machine
found footage,Cloverfield
heist film,Now You See Me 2
horror,"Cloverfield, Cobweb"
monster,Cloverfield
non-fiction,The Disaster Artist
political satire,The Interview
romantic,Allied
romantic comedy,"The People We Hate at the Wedding, My Best Friend's Girl"
romantic comedy-drama,Save the Date
romantic drama,The Disaster Artist
sci-fi,Item 47
science fiction,"Extinction, Hot Tub Time Machine"
stoner,The Night Before
thriller,Allied
war,Allied
western,The Last Rites of Ransom Pride
