movieId,movieScore
west_side_story_2021,93.0
jurassic_world_dominion,77.0
black_widow_2021,91.0
no_time_to_die_2021,88.0
la_la_land,81.0
star_wars_the_rise_of_skywalker,86.0
the_invisible_man_2020,88.0
suicide_squad_2016,58.0
glass_onion_a_knives_out_mystery,92.0
eternals,77.0
jurassic_world_fallen_kingdom,48.0
the_lighthouse_2019,72.0
baby_driver,86.0
dunkirk_2017,81.0
ready_player_one,77.0
the_post,73.0
a_quiet_place_2018,83.0
dune_2021,90.0
nope,69.0
the_front_runner_2018,40.0
prairie_home_companion,59.0
prairie_home_companion,59.0
the_front_runner_2018,40.0
the_revenant_2015,84.0
captain_marvel,45.0
aladdin,94.0
everything_everywhere_all_at_once,86.0
godzilla_vs_kong,91.0
batman_v_superman_dawn_of_justice,63.0
elvis,94.0
black_panther_2018,79.0
wonder_woman_1984,73.0
stillwater_2020,72.0
jojo_rabbit,94.0
glass_2019,67.0
parasite_2019,90.0
28_days_later,85.0
catch_me_if_you_can,89.0
parasite_2019,90.0
catch_me_if_you_can,89.0
28_days_later,85.0
first_man,67.0
spider_man_into_the_spider_verse,93.0
spider_man_far_from_home,95.0
the_favourite_2018,70.0
halloween_2018,71.0
joker_2019,88.0
moonlight_2016,79.0
widows_2018,61.0
mad_max_fury_road,86.0
ant_man_and_the_wasp,80.0
rocketman_2019,88.0
three_billboards_outside_ebbing_missouri,87.0
black_panther_wakanda_forever,94.0
knives_out,92.0
ad_astra,40.0
it_2017,84.0
marriage_story_2019,85.0
top_gun_maverick,99.0
guardians_of_the_galaxy_vol_2,87.0
blackkklansman,83.0
justice_league_2017,68.0
midsommar,63.0
stillwater_2020,72.0
star_wars_the_last_jedi,42.0
birds_of_prey_2020,78.0
avatar_the_way_of_water,92.0
get_out,86.0
the_irishman,86.0
solo_a_star_wars_story,63.0
the_batman,87.0
rogue_one_a_star_wars_story,87.0
bohemian_rhapsody,85.0
alien_covenant,55.0
logan_2017,90.0
avengers_infinity_war,92.0
kong_skull_island,69.0
avengers_endgame,90.0
mission_impossible_fallout,88.0
wonder_woman_2017,83.0
doctor_strange_2016,86.0
i_tonya,88.0
shazam,82.0
skyfall,86.0
toy_story_4,94.0
once_upon_a_time_in_hollywood,70.0
cruella,97.0
captain_america_civil_war,89.0
deadpool_2,85.0
the_lion_king_2019,88.0
a_star_is_born_2018,80.0
aquaman_2018,72.0
spider_man_homecoming,87.0
arrival_2016,82.0
taken_3,43.0
star_wars_episode_vii_the_force_awakens,85.0
snow_white_and_the_huntsman,52.0
1193230-state_of_play,73.0
blue_is_the_warmest_color,85.0
ant_man_and_the_wasp_quantumania,83.0
2012,47.0
snow_white_and_the_huntsman,52.0
1193230-state_of_play,73.0
booksmart,77.0
2012,47.0
ant_man_and_the_wasp_quantumania,83.0
blue_is_the_warmest_color,85.0
roma_2018,72.0
little_women_2019,92.0
thor_love_and_thunder,77.0
nomadland,82.0
doctor_strange_in_the_multiverse_of_madness,85.0
incredibles_2,84.0
thor_ragnarok_2017,87.0
promising_young_woman,87.0
spider_man_no_way_home,98.0
