movieId,movieScore
1193230-state_of_play,4.0
2012,2.34
28_days_later,3.81
a_quiet_place_2018,3.6
a_star_is_born_2018,4.02
ad_astra,3.8
aladdin,3.0
alien_covenant,3.2
ant_man_and_the_wasp,3.71
ant_man_and_the_wasp_quantumania,2.6
aquaman_2018,3.0
arrival_2016,3.8
avatar_the_way_of_water,3.92
avengers_endgame,4.4
avengers_infinity_war,3.89
baby_driver,4.8
batman_v_superman_dawn_of_justice,2.0
birds_of_prey_2020,3.75
black_panther_2018,4.57
black_panther_wakanda_forever,3.55
black_widow_2021,3.59
blackkklansman,4.32
blue_is_the_warmest_color,4.33
bohemian_rhapsody,2.57
booksmart,3.8
captain_america_civil_war,4.1
captain_marvel,3.68
catch_me_if_you_can,4.4
cruella,3.33
deadpool_2,4.12
doctor_strange_2016,3.6
doctor_strange_in_the_multiverse_of_madness,3.0
dune_2021,3.92
dunkirk_2017,4.44
elvis,3.0
eternals,2.0
everything_everywhere_all_at_once,4.6
first_man,3.96
get_out,4.4
glass_2019,2.8
glass_onion_a_knives_out_mystery,4.4
godzilla_vs_kong,4.6
guardians_of_the_galaxy_vol_2,4.0
halloween_2018,4.0
i_tonya,4.2
incredibles_2,4.2
it_2017,4.4
jojo_rabbit,3.73
joker_2019,3.19
jurassic_world_dominion,2.6
jurassic_world_fallen_kingdom,3.0
justice_league_2017,1.5
knives_out,4.81
kong_skull_island,2.8
la_la_land,4.5
little_women_2019,4.38
logan_2017,4.2
mad_max_fury_road,3.79
marriage_story_2019,3.6
midsommar,3.8
mission_impossible_fallout,4.33
moonlight_2016,4.6
no_time_to_die_2021,3.8
nomadland,4.09
nope,3.57
once_upon_a_time_in_hollywood,3.92
parasite_2019,4.59
prairie_home_companion,3.6
promising_young_woman,4.43
ready_player_one,3.44
rocketman_2019,3.6
rogue_one_a_star_wars_story,3.92
roma_2018,4.6
shazam,4.29
skyfall,3.8
snow_white_and_the_huntsman,2.72
solo_a_star_wars_story,3.39
spider_man_far_from_home,4.14
spider_man_homecoming,4.6
spider_man_into_the_spider_verse,5.0
spider_man_no_way_home,4.5
star_wars_episode_vii_the_force_awakens,4.3
star_wars_the_last_jedi,4.35
star_wars_the_rise_of_skywalker,2.93
stillwater_2020,3.6
suicide_squad_2016,1.6
taken_3,1.57
the_batman,3.98
the_favourite_2018,4.11
the_front_runner_2018,2.56
the_invisible_man_2020,4.57
the_irishman,4.46
the_lighthouse_2019,3.0
the_lion_king_2019,3.17
the_post,4.17
the_revenant_2015,3.4
thor_love_and_thunder,2.31
thor_ragnarok_2017,4.44
three_billboards_outside_ebbing_missouri,4.17
top_gun_maverick,4.38
toy_story_4,4.22
west_side_story_2021,4.75
widows_2018,4.44
wonder_woman_1984,2.83
wonder_woman_2017,4.45
